,cylinders,displ,make,year,fuelType
8481,4.0,1.5,Toyota,2002,Regular
8490,6.0,2.8,Volkswagen,2002,Regular
8505,6.0,2.8,Volkswagen,2002,Premium
8508,4.0,1.9,Volvo,2002,Premium
8511,4.0,1.6,Chevrolet,1986,Regular
8517,6.0,3.5,Acura,2002,Premium
8523,8.0,4.2,Audi,2002,Premium
8526,8.0,6.8,Bentley,2002,Premium
8527,6.0,3.1,Buick,2002,Regular
8528,6.0,3.8,Buick,2002,Premium
8529,6.0,3.8,Buick,2002,Regular
8530,8.0,4.6,Cadillac,2002,Regular
8532,6.0,3.1,Chevrolet,2002,Regular
8534,6.0,3.4,Chevrolet,2002,Regular
8539,4.0,2.2,Daewoo,2002,Regular
8542,6.0,2.7,Dodge,2002,Regular
8544,4.0,1.8,Chevrolet,1986,Diesel
8546,4.0,2.3,Honda,2002,Regular
8550,6.0,3.0,Honda,2002,Regular
8551,4.0,2.4,Hyundai,2002,Regular
8555,4.0,2.6,Mitsubishi,1985,Premium
8556,4.0,1.5,Chevrolet,1986,Regular
8557,6.0,3.5,Hyundai,2002,Regular
8558,6.0,3.5,Infiniti,2002,Regular
8559,8.0,4.5,Infiniti,2002,Premium
8564,4.0,2.4,Kia,2002,Regular
8566,6.0,2.7,Kia,2002,Regular
8569,6.0,3.0,Lexus,2002,Regular
8573,6.0,3.0,Lincoln,2002,Premium
8574,8.0,3.9,Lincoln,2002,Premium
8579,6.0,3.0,Mercury,2002,Regular
8591,6.0,3.5,Mitsubishi,2002,Premium
8597,6.0,3.5,Nissan,2002,Regular
8600,4.0,2.2,Chrysler,1986,Regular
8602,6.0,3.5,Oldsmobile,2002,Regular
8603,8.0,4.0,Oldsmobile,2002,Regular
8605,6.0,3.8,Pontiac,2002,Premium
8606,6.0,3.1,Pontiac,2002,Regular
8608,12.0,5.4,Rolls-Royce,2002,Premium
8611,4.0,2.2,Chrysler,1986,Premium
8614,4.0,2.3,Saab,2002,Regular
8617,6.0,3.0,Saab,2002,Premium
8618,4.0,2.2,Saturn,2002,Regular
8620,6.0,3.0,Saturn,2002,Regular
8629,6.0,2.9,Volvo,2002,Premium
8644,4.0,2.5,Chrysler,1986,Regular
8649,6.0,3.5,Dodge,2002,Regular
8652,6.0,3.0,Ford,2002,Regular
8654,8.0,4.6,Lincoln,2002,Premium
8656,8.0,4.6,Mercury,2002,Regular
8657,8.0,4.6,Lincoln,2002,Regular
8711,4.0,1.6,Nissan,1986,Regular
8745,6.0,4.3,Chevrolet,2002,Regular
8747,6.0,4.3,GMC,2002,Regular
8750,8.0,5.3,Chevrolet,2002,Regular
8752,8.0,4.8,Chevrolet,2002,Regular
8755,4.0,1.7,Nissan,1986,Diesel
8756,4.0,2.5,Dodge,2002,Regular
8757,6.0,3.9,Dodge,2002,Regular
8759,8.0,4.7,Dodge,2002,Regular
8761,8.0,5.9,Dodge,2002,Regular
8762,6.0,3.7,Dodge,2002,Regular
8766,4.0,1.8,Nissan,1986,Regular
8768,6.0,4.0,Ford,2002,Regular
8770,6.0,4.2,Ford,2002,Regular
8772,8.0,5.4,Ford,2002,Premium
8775,8.0,5.4,Ford,2002,Regular
8776,4.0,2.3,Ford,2002,Regular
8778,4.0,2.0,Nissan,1986,Regular
8785,8.0,5.3,GMC,2002,Regular
8787,8.0,4.8,GMC,2002,Regular
8791,8.0,5.4,Lincoln,2002,Premium
8792,4.0,2.3,Mazda,2002,Regular
8794,6.0,3.0,Mazda,2002,Regular
8796,6.0,4.0,Mazda,2002,Regular
8798,4.0,2.4,Nissan,2002,Regular
8801,6.0,3.3,Nissan,2002,Regular
8802,6.0,3.3,Nissan,2002,Premium
8807,4.0,2.7,Toyota,2002,Regular
8808,6.0,3.4,Toyota,2002,Regular
8813,8.0,4.7,Toyota,2002,Regular
8822,4.0,1.6,Dodge,1986,Regular
8844,4.0,2.2,Dodge,1986,Regular
8850,8.0,6.0,GMC,2002,Regular
8866,4.0,2.2,Dodge,1986,Premium
8873,8.0,5.0,Chevrolet,2002,Regular
8874,8.0,5.7,Chevrolet,2002,Regular
8886,8.0,5.0,GMC,2002,Regular
8887,8.0,5.7,GMC,2002,Regular
8890,4.0,1.5,Dodge,1986,Regular
8914,6.0,3.8,Chrysler,2002,Regular
8917,6.0,3.8,Dodge,2002,Regular
8921,6.0,3.5,Honda,2002,Regular
8922,6.0,3.5,Kia,2002,Regular
8923,4.0,1.6,Dodge,1986,Premium
8925,6.0,3.3,Mercury,2002,Regular
8938,6.0,3.4,Buick,2002,Regular
8939,8.0,5.3,Cadillac,2002,Regular
8945,4.0,2.6,Dodge,1986,Premium
8947,4.0,2.0,Chevrolet,2002,Regular
8951,6.0,2.5,Chevrolet,2002,Regular
8952,6.0,4.2,Chevrolet,2002,Regular
8973,6.0,4.2,GMC,2002,Regular
8977,4.0,2.4,Honda,2002,Regular
8979,6.0,3.2,Honda,2002,Regular
8985,6.0,3.5,Isuzu,2002,Regular
8986,6.0,3.2,Isuzu,2002,Regular
8988,4.0,2.2,Isuzu,2002,Regular
8995,6.0,4.0,Jeep,2002,Regular
8996,8.0,4.7,Jeep,2002,Regular
8997,6.0,3.7,Jeep,2002,Regular
8999,4.0,2.0,Kia,2002,Regular
9006,6.0,4.0,Mercury,2002,Regular
9008,6.0,3.0,Mitsubishi,2002,Regular
9009,6.0,3.5,Mitsubishi,2002,Regular
9012,4.0,2.5,Dodge,1986,Regular
9022,6.0,4.2,Oldsmobile,2002,Regular
9027,6.0,2.5,Suzuki,2002,Regular
9029,6.0,2.7,Suzuki,2002,Regular
9039,4.0,2.0,Toyota,2002,Regular
9049,8.0,4.6,BMW,2002,Premium
9051,8.0,6.0,Cadillac,2002,Regular
9078,4.0,1.6,Ford,1986,Regular
9100,4.0,2.3,Ford,1986,Regular
9114,4.0,2.5,Jeep,2002,Regular
9120,6.0,2.5,Land Rover,2002,Premium
9121,8.0,4.0,Land Rover,2002,Premium
9122,8.0,4.6,Land Rover,2002,Premium
9124,8.0,4.7,Lexus,2002,Regular
9131,8.0,5.5,Mercedes-Benz,2002,Premium
9134,6.0,3.8,Ford,1986,Regular
9145,8.0,5.0,Ford,1986,Regular
9167,4.0,2.0,Honda,1986,Regular
9171,4.0,2.2,Chevrolet,2002,Gasoline or natural gas
9172,8.0,4.6,Ford,2002,CNG
9173,8.0,5.4,Ford,2002,CNG
9174,8.0,5.2,Dodge,2002,CNG
9176,4.0,2.2,Chevrolet,2002,Gasoline or E85
9179,4.0,2.2,GMC,2002,Gasoline or E85
9181,4.0,2.2,Isuzu,2002,Gasoline or E85
9183,8.0,5.4,Ford,2002,Gasoline or natural gas
9185,8.0,5.4,Ford,2002,Gasoline or propane
9187,4.0,1.7,Honda,2002,CNG
9188,6.0,3.3,Chrysler,2002,Gasoline or E85
9190,6.0,3.3,Dodge,2002,Gasoline or E85
9192,8.0,5.3,Chevrolet,2002,Gasoline or E85
9194,8.0,5.3,GMC,2002,Gasoline or E85
9201,6.0,4.0,Ford,2002,Gasoline or E85
9202,6.0,4.0,Mercury,2002,Gasoline or E85
9203,6.0,3.0,Mercury,2002,Gasoline or E85
9204,6.0,3.0,Ford,2002,Gasoline or E85
9209,6.0,3.0,Mazda,2002,Gasoline or E85
9211,4.0,1.3,Honda,1986,Regular
9212,0.0,0.0,Toyota,2002,Electricity
9213,0.0,0.0,Ford,2002,Electricity
9214,6.0,3.0,Acura,2003,Premium
9215,6.0,3.2,Acura,2003,Premium
9216,8.0,4.8,BMW Alpina,2003,Premium
9217,4.0,1.8,Audi,2003,Premium
9219,6.0,2.5,BMW,2003,Premium
9221,6.0,3.0,BMW,2003,Premium
9225,8.0,4.9,BMW,2003,Premium
9226,8.0,5.7,Chevrolet,2003,Premium
9228,10.0,8.3,Dodge,2003,Premium
9229,12.0,6.0,Ferrari,2003,Premium
9230,8.0,3.6,Ferrari,2003,Premium
9232,12.0,5.7,Ferrari,2003,Premium
9235,8.0,3.9,Ford,2003,Premium
9237,3.0,1.0,Honda,2003,Regular
9239,4.0,2.0,Honda,2003,Premium
9240,12.0,6.0,Lamborghini,2003,Premium
9241,12.0,6.2,Lamborghini,2003,Premium
9242,8.0,3.5,Lotus,2003,Premium
9243,8.0,4.2,Maserati,2003,Premium
9246,4.0,1.8,Mazda,2003,Premium
9249,8.0,5.0,Mercedes-Benz,2003,Premium
9250,8.0,5.5,Mercedes-Benz,2003,Premium
9251,4.0,2.3,Mercedes-Benz,2003,Premium
9253,6.0,3.2,Mercedes-Benz,2003,Premium
9256,4.0,1.6,Acura,1986,Regular
9257,8.0,4.0,Morgan,2003,Premium
9258,6.0,3.5,Nissan,2003,Premium
9260,6.0,2.7,Porsche,2003,Premium
9262,6.0,3.2,Porsche,2003,Premium
9264,6.0,3.6,Porsche,2003,Premium
9265,4.0,1.8,Toyota,2003,Regular
9268,12.0,5.9,Aston Martin,2003,Premium
9278,4.0,1.8,Honda,1986,Regular
9282,6.0,3.2,BMW,2003,Premium
9284,8.0,4.2,Jaguar,2003,Premium
9286,8.0,4.3,Lexus,2003,Premium
9287,4.0,2.4,Mitsubishi,2003,Regular
9292,6.0,3.0,Mitsubishi,2003,Premium
9320,4.0,2.0,Volkswagen,2003,Regular
9322,4.0,1.5,Hyundai,1986,Regular
9323,4.0,2.0,Acura,2003,Regular
9324,4.0,2.0,Acura,2003,Premium
9327,6.0,3.0,Audi,2003,Premium
9328,8.0,6.8,Bentley,2003,Premium
9338,12.0,5.5,Ferrari,2003,Premium
9340,4.0,2.0,Ford,2003,Regular
9342,6.0,3.8,Ford,2003,Regular
9344,8.0,4.6,Ford,2003,Regular
9349,8.0,4.6,Ford,2003,Premium
9350,4.0,2.0,Hyundai,2003,Regular
9353,6.0,2.7,Hyundai,2003,Regular
9356,4.0,1.5,Isuzu,1986,Regular
9363,8.0,4.3,Mercedes-Benz,2003,Premium
9365,8.0,5.4,Mercedes-Benz,2003,Premium
9375,8.0,4.6,Roush Performance,2003,Premium
9377,4.0,2.0,Saab,2003,Premium
9380,4.0,2.0,Subaru,2003,Premium
9382,4.0,2.5,Subaru,2003,Regular
9384,4.0,2.4,Toyota,2003,Regular
9385,6.0,3.0,Toyota,2003,Regular
9388,4.0,1.8,Toyota,2003,Premium
9389,4.0,1.9,Isuzu,1986,Regular
9391,4.0,1.9,Volkswagen,2003,Diesel
9395,5.0,2.3,Volvo,2003,Premium
9397,5.0,2.4,Volvo,2003,Premium
9423,8.0,4.4,BMW,2003,Premium
9427,4.0,2.2,Chevrolet,2003,Regular
9429,4.0,2.4,Chrysler,2003,Regular
9433,4.0,2.0,Isuzu,1986,Regular
9434,6.0,3.0,Chrysler,2003,Regular
9438,6.0,2.7,Chrysler,2003,Regular
9441,4.0,1.6,Daewoo,2003,Regular
9443,4.0,2.0,Daewoo,2003,Regular
9447,4.0,2.0,Dodge,2003,Regular
9449,4.0,2.4,Dodge,2003,Premium
9450,4.0,2.4,Dodge,2003,Regular
9454,6.0,3.0,Dodge,2003,Regular
9456,12.0,5.3,Jaguar,1986,Regular
9463,4.0,2.3,Ford,2003,Regular
9465,4.0,1.7,Honda,2003,Regular
9467,6.0,4.2,Jaguar,1986,Regular
9472,4.0,2.0,Honda,2003,Regular
9473,4.0,1.3,Honda,2003,Regular
9475,4.0,1.5,Hyundai,2003,Regular
9477,4.0,1.6,Hyundai,2003,Regular
9478,4.0,2.3,Mercury,1986,Regular
9483,6.0,3.5,Infiniti,2003,Premium
9484,6.0,3.5,Infiniti,2003,Regular
9486,8.0,4.5,Infiniti,2003,Premium
9487,6.0,2.5,Jaguar,2003,Premium
9490,6.0,3.0,Jaguar,2003,Premium
9492,8.0,4.0,Jaguar,2003,Premium
9495,4.0,1.6,Kia,2003,Regular
9497,4.0,1.8,Kia,2003,Regular
9499,6.0,3.0,Lexus,2003,Premium
9500,6.0,3.8,Mercury,1986,Regular
9502,4.0,2.0,Mazda,2003,Regular
9503,4.0,2.0,Mazda,2003,Premium
9506,4.0,1.8,Mercedes-Benz,2003,Premium
9510,6.0,2.6,Mercedes-Benz,2003,Premium
9511,8.0,5.0,Mercury,1986,Regular
9523,12.0,5.5,Mercedes-Benz,2003,Premium
9524,4.0,1.6,Mitsubishi,2003,Regular
9526,4.0,2.0,Mitsubishi,2003,Regular
9528,4.0,2.0,Mitsubishi,2003,Premium
9529,4.0,1.8,Nissan,2003,Regular
9531,4.0,2.5,Nissan,2003,Regular
9535,4.0,2.2,Oldsmobile,2003,Regular
9537,6.0,3.4,Oldsmobile,2003,Regular
9538,4.0,2.2,Pontiac,2003,Regular
9540,6.0,3.4,Pontiac,2003,Regular
9543,4.0,2.0,Saab,2003,Regular
9544,4.0,2.3,Mercedes-Benz,1986,Regular
9546,4.0,2.2,Saturn,2003,Regular
9552,6.0,3.0,Subaru,2003,Premium
9553,4.0,2.0,Suzuki,2003,Regular
9556,4.0,2.3,Mercedes-Benz,1986,Premium
9563,4.0,1.5,Toyota,2003,Regular
9571,6.0,2.8,Volkswagen,2003,Premium
9580,8.0,4.0,Volkswagen,2003,Premium
9581,4.0,1.9,Volvo,2003,Premium
9582,5.0,2.5,Volvo,2003,Premium
9589,5.0,2.5,Mercedes-Benz,1986,Diesel
9590,6.0,3.5,Acura,2003,Premium
9592,6.0,2.7,Audi,2003,Premium
9595,8.0,4.2,Audi,2003,Premium
9599,6.0,3.1,Buick,2003,Regular
9601,6.0,3.8,Buick,2003,Premium
9602,6.0,3.8,Buick,2003,Regular
9603,6.0,3.2,Cadillac,2003,Premium
9605,8.0,4.6,Cadillac,2003,Regular
9606,6.0,3.1,Chevrolet,2003,Regular
9607,6.0,3.4,Chevrolet,2003,Regular
9608,6.0,3.8,Chevrolet,2003,Regular
9611,4.0,1.8,Mitsubishi,1986,Premium
9614,6.0,2.7,Dodge,2003,Regular
9617,4.0,2.4,Honda,2003,Regular
9619,6.0,3.0,Honda,2003,Regular
9621,4.0,2.4,Hyundai,2003,Regular
9622,4.0,2.0,Mitsubishi,1986,Regular
9626,6.0,3.5,Hyundai,2003,Regular
9635,4.0,2.4,Kia,2003,Regular
9637,6.0,2.7,Kia,2003,Regular
9639,6.0,3.0,Lexus,2003,Regular
9642,6.0,3.0,Lincoln,2003,Premium
9644,4.0,1.5,Mitsubishi,1986,Regular
9645,8.0,3.9,Lincoln,2003,Premium
9647,6.0,3.0,Mercury,2003,Regular
9649,4.0,2.3,Mazda,2003,Regular
9651,6.0,3.0,Mazda,2003,Regular
9656,6.0,3.5,Mitsubishi,2003,Premium
9662,6.0,3.5,Nissan,2003,Regular
9668,8.0,4.0,Oldsmobile,2003,Regular
9669,6.0,3.1,Pontiac,2003,Regular
9670,6.0,3.8,Pontiac,2003,Premium
9671,6.0,3.8,Pontiac,2003,Regular
9672,4.0,2.3,Saab,2003,Regular
9673,4.0,2.3,Saab,2003,Premium
9676,6.0,3.0,Saab,2003,Premium
9678,4.0,1.6,Mitsubishi,1986,Premium
9680,6.0,3.0,Saturn,2003,Regular
9684,4.0,1.8,Volkswagen,2003,Premium
9688,6.0,2.9,Volvo,2003,Premium
9700,4.0,2.6,Mitsubishi,1986,Premium
9704,6.0,3.5,Chrysler,2003,Regular
9708,6.0,3.5,Dodge,2003,Regular
9712,6.0,3.0,Ford,2003,Regular
9716,8.0,4.6,Mercury,2003,Regular
9717,8.0,4.6,Mercury,2003,Premium
9718,8.0,4.6,Lincoln,2003,Regular
9750,4.0,1.8,Pontiac,2003,Regular
9752,4.0,1.8,Pontiac,2003,Premium
9755,4.0,1.5,Plymouth,1986,Regular
9777,4.0,1.6,Plymouth,1985,Premium
9789,4.0,1.6,Plymouth,1986,Premium
9811,4.0,2.6,Plymouth,1986,Premium
9821,6.0,4.3,Chevrolet,2003,Regular
9824,4.0,2.2,GMC,2003,Regular
9826,6.0,4.3,GMC,2003,Regular
9830,8.0,4.8,Chevrolet,2003,Regular
9832,8.0,5.3,Chevrolet,2003,Regular
9833,4.0,1.6,Plymouth,1986,Regular
9835,6.0,3.9,Dodge,2003,Regular
9837,8.0,4.7,Dodge,2003,Regular
9839,8.0,5.9,Dodge,2003,Regular
9840,6.0,3.7,Dodge,2003,Regular
9845,8.0,5.7,Dodge,2003,Regular
9847,6.0,4.0,Ford,2003,Regular
9849,6.0,4.2,Ford,2003,Regular
9853,8.0,5.4,Ford,2003,Regular
9854,8.0,5.4,Ford,2003,Premium
9855,4.0,2.2,Plymouth,1986,Regular
9864,8.0,4.8,GMC,2003,Regular
9867,8.0,5.3,GMC,2003,Regular
9868,8.0,5.4,Lincoln,2003,Premium
9873,6.0,4.0,Mazda,2003,Regular
9875,4.0,2.4,Nissan,2003,Regular
9877,4.0,2.2,Plymouth,1986,Premium
9878,6.0,3.3,Nissan,2003,Premium
9879,6.0,3.3,Nissan,2003,Regular
9884,4.0,2.7,Toyota,2003,Regular
9885,6.0,3.4,Toyota,2003,Regular
9891,8.0,4.7,Toyota,2003,Regular
9897,8.0,6.0,Chevrolet,2003,Regular
9922,8.0,5.0,Pontiac,1986,Regular
9928,8.0,6.0,GMC,2003,Regular
9960,8.0,5.2,Dodge,2003,Regular
9977,4.0,1.8,Pontiac,1986,Premium
9988,4.0,1.8,Pontiac,1986,Regular
10003,6.0,3.8,Chrysler,2003,Regular
10005,6.0,3.8,Dodge,2003,Regular
10008,6.0,3.5,Honda,2003,Regular
10009,6.0,3.5,Kia,2003,Regular
10021,6.0,3.4,Buick,2003,Regular
10022,8.0,5.3,Cadillac,2003,Regular
10023,4.0,1.5,Pontiac,1986,Regular
10030,4.0,2.0,Chevrolet,2003,Regular
10035,6.0,2.5,Chevrolet,2003,Regular
10037,6.0,4.2,Chevrolet,2003,Regular
10040,4.0,2.4,Chrysler,2003,Premium
10045,4.0,1.6,Pontiac,1986,Regular
10058,6.0,4.2,GMC,2003,Regular
10073,6.0,4.2,Isuzu,2003,Regular
10074,8.0,5.3,Isuzu,2003,Regular
10075,6.0,3.5,Isuzu,2003,Regular
10076,4.0,2.2,Isuzu,2003,Regular
10078,4.0,1.7,Renault,1986,Regular
10079,6.0,3.2,Isuzu,2003,Regular
10083,6.0,4.0,Jeep,2003,Regular
10084,8.0,4.7,Jeep,2003,Regular
10085,4.0,2.4,Jeep,2003,Regular
10086,6.0,3.7,Jeep,2003,Regular
10095,6.0,3.0,Mitsubishi,2003,Regular
10096,6.0,3.5,Mitsubishi,2003,Regular
10100,4.0,2.2,Renault,1986,Regular
10108,6.0,4.2,Oldsmobile,2003,Regular
10115,6.0,2.5,Suzuki,2003,Regular
10117,6.0,2.7,Suzuki,2003,Regular
10123,8.0,6.8,Rolls-Royce,1986,Regular
10124,6.0,4.0,Toyota,2003,Regular
10128,4.0,2.0,Toyota,2003,Regular
10134,4.0,1.6,Subaru,1986,Regular
10139,8.0,4.6,BMW,2003,Premium
10141,8.0,6.0,Cadillac,2003,Regular
10218,6.0,2.5,Land Rover,2003,Regular
10220,8.0,4.6,Land Rover,2003,Premium
10221,8.0,4.4,Land Rover,2003,Premium
10222,4.0,2.6,Plymouth,1985,Premium
10223,4.0,2.0,Toyota,1986,Regular
10224,8.0,4.7,Lexus,2003,Regular
10232,6.0,3.7,Mercedes-Benz,2003,Premium
10237,6.0,3.8,Mitsubishi,2003,Premium
10267,6.0,2.8,Toyota,1986,Premium
10280,8.0,5.4,Ford,2003,CNG
10281,8.0,5.2,Dodge,2003,CNG
10282,8.0,5.4,Ford,2003,Gasoline or propane
10284,6.0,3.3,Chrysler,2003,Gasoline or E85
10285,6.0,3.3,Dodge,2003,Gasoline or E85
10286,8.0,5.3,Chevrolet,2003,Gasoline or E85
10288,8.0,5.3,GMC,2003,Gasoline or E85
10291,6.0,4.0,Ford,2003,Gasoline or E85
10292,6.0,4.0,Mercury,2003,Gasoline or E85
10294,6.0,3.0,Ford,2003,Gasoline or E85
10295,6.0,3.0,Mazda,2003,Gasoline or E85
10301,6.0,2.7,Chrysler,2003,Gasoline or E85
10303,6.0,2.7,Dodge,2003,Gasoline or E85
10304,4.0,2.2,Chevrolet,2003,Gasoline or natural gas
10318,8.0,6.0,Chevrolet,2003,Gasoline or natural gas
10319,6.0,3.0,Mercury,2003,Gasoline or E85
10322,6.0,3.0,Toyota,1986,Premium
10325,4.0,1.7,Honda,2003,CNG
10326,8.0,4.6,Ford,2003,CNG
10327,8.0,5.4,Ford,2003,Gasoline or natural gas
10329,0.0,0.0,Toyota,2003,Electricity
10330,4.0,1.6,MINI,2003,Premium
10335,12.0,6.0,BMW,2003,Premium
10345,4.0,1.5,Toyota,1986,Regular
10359,8.0,4.5,Porsche,2003,Premium
10370,6.0,3.0,Acura,2004,Premium
10371,6.0,3.2,Acura,2004,Premium
10372,4.0,1.8,Audi,2004,Premium
10374,6.0,3.2,Audi,2004,Premium
10375,6.0,2.5,BMW,2004,Premium
10379,6.0,3.0,BMW,2004,Premium
10382,8.0,4.6,Cadillac,2004,Premium
10383,8.0,5.7,Chevrolet,2004,Premium
10385,6.0,3.2,Chrysler,2004,Premium
10387,10.0,8.3,Dodge,2004,Premium
10388,8.0,3.6,Ferrari,2004,Premium
10392,12.0,5.7,Ferrari,2004,Premium
10394,8.0,3.9,Ford,2004,Premium
10396,3.0,1.0,Honda,2004,Regular
10398,4.0,2.2,Honda,2004,Premium
10399,10.0,5.0,Lamborghini,2004,Premium
10402,12.0,6.2,Lamborghini,2004,Premium
10404,8.0,3.5,Lotus,2004,Premium
10405,8.0,4.2,Maserati,2004,Premium
10407,4.0,1.8,Mazda,2004,Premium
10411,6.0,3.9,Bitter Gmbh and Co. Kg,1986,Premium
10412,8.0,5.0,Mercedes-Benz,2004,Premium
10413,8.0,5.4,Mercedes-Benz,2004,Premium
10414,12.0,5.5,Mercedes-Benz,2004,Premium
10415,4.0,2.3,Mercedes-Benz,2004,Premium
10417,6.0,3.2,Mercedes-Benz,2004,Premium
10420,6.0,3.5,Nissan,2004,Premium
10422,6.0,2.4,BMW,1986,Diesel
10425,6.0,2.7,Porsche,2004,Premium
10427,6.0,3.2,Porsche,2004,Premium
10429,6.0,3.6,Porsche,2004,Premium
10430,10.0,5.7,Porsche,2004,Premium
10432,4.0,1.8,Toyota,2004,Regular
10435,12.0,5.9,Aston Martin,2004,Premium
10447,6.0,3.2,BMW,2004,Premium
10449,8.0,4.2,Jaguar,2004,Premium
10451,8.0,4.3,Lexus,2004,Premium
10452,4.0,1.6,MINI,2004,Premium
10455,4.0,2.4,Mitsubishi,2004,Regular
10458,6.0,3.0,Mitsubishi,2004,Premium
10491,4.0,1.8,Volkswagen,2004,Premium
10493,4.0,2.0,Volkswagen,2004,Regular
10495,4.0,2.0,Acura,2004,Regular
10496,4.0,2.0,Acura,2004,Premium
10499,6.0,3.0,Audi,2004,Premium
10500,4.0,1.8,Buick,1986,Premium
10502,8.0,4.2,Audi,2004,Premium
10510,8.0,4.4,BMW,2004,Premium
10511,4.0,1.8,Buick,1986,Regular
10519,6.0,3.8,Ford,2004,Regular
10521,6.0,3.9,Ford,2004,Regular
10524,8.0,4.6,Ford,2004,Regular
10529,4.0,2.0,Hyundai,2004,Regular
10531,6.0,2.7,Hyundai,2004,Regular
10539,2.0,1.3,Mazda,2004,Premium
10544,4.0,2.0,Buick,1986,Regular
10557,8.0,4.6,Roush Performance,2004,Premium
10558,4.0,2.0,Saab,2004,Premium
10561,4.0,2.0,Subaru,2004,Premium
10563,4.0,2.5,Subaru,2004,Regular
10565,4.0,2.5,Subaru,2004,Premium
10566,6.0,3.3,Toyota,2004,Regular
10567,4.0,2.5,Buick,1986,Regular
10570,4.0,1.8,Toyota,2004,Premium
10572,4.0,1.5,Scion,2004,Regular
10577,4.0,1.9,Volkswagen,2004,Diesel
10582,6.0,3.2,Volkswagen,2004,Premium
10583,5.0,2.3,Volvo,2004,Premium
10585,5.0,2.4,Volvo,2004,Premium
10586,4.0,2.4,Acura,2004,Premium
10589,6.0,3.0,Buick,1986,Regular
10598,12.0,6.0,Bentley,2004,Premium
10600,4.0,2.0,Cadillac,1986,Regular
10610,4.0,1.6,Chevrolet,2004,Regular
10613,4.0,2.2,Chevrolet,2004,Regular
10615,4.0,2.0,Chevrolet,2004,Regular
10617,4.0,2.4,Chrysler,2004,Regular
10619,6.0,3.0,Chrysler,2004,Premium
10622,6.0,2.8,Cadillac,1986,Regular
10624,6.0,2.7,Chrysler,2004,Regular
10625,4.0,1.6,Daewoo,2004,Regular
10627,4.0,2.0,Daewoo,2004,Regular
10629,4.0,2.0,Dodge,2004,Regular
10631,4.0,2.4,Dodge,2004,Premium
10632,4.0,2.4,Dodge,2004,Regular
10635,6.0,3.0,Dodge,2004,Premium
10638,4.0,2.0,Ford,2004,Regular
10642,4.0,2.0,Ford,2004,Premium
10643,4.0,2.3,Ford,2004,Regular
10646,4.0,1.7,Honda,2004,Regular
10652,4.0,2.0,Honda,2004,Regular
10653,4.0,1.3,Honda,2004,Regular
10658,4.0,1.5,Hyundai,2004,Regular
10660,4.0,1.6,Hyundai,2004,Regular
10664,6.0,3.5,Infiniti,2004,Regular
10665,6.0,3.5,Infiniti,2004,Premium
10671,8.0,4.5,Infiniti,2004,Premium
10672,6.0,2.5,Jaguar,2004,Premium
10673,6.0,3.0,Jaguar,2004,Premium
10674,4.0,1.6,Kia,2004,Regular
10679,4.0,1.8,Kia,2004,Regular
10681,6.0,3.0,Lexus,2004,Premium
10683,4.0,2.0,Mazda,2004,Regular
10686,4.0,2.3,Mazda,2004,Regular
10688,6.0,2.6,Mercedes-Benz,2004,Premium
10691,4.0,1.8,Mercedes-Benz,2004,Premium
10704,4.0,2.0,Mitsubishi,2004,Regular
10708,4.0,2.0,Mitsubishi,2004,Premium
10709,4.0,1.8,Nissan,2004,Regular
10712,4.0,2.5,Nissan,2004,Regular
10714,4.0,2.2,Oldsmobile,2004,Regular
10716,6.0,3.4,Oldsmobile,2004,Regular
10717,4.0,2.2,Pontiac,2004,Regular
10719,6.0,3.4,Pontiac,2004,Regular
10720,8.0,5.7,Pontiac,2004,Premium
10725,4.0,2.0,Saab,2004,Regular
10730,4.0,2.0,Saturn,2004,Premium
10731,4.0,2.2,Saturn,2004,Regular
10738,6.0,3.0,Subaru,2004,Premium
10739,4.0,2.3,Suzuki,2004,Regular
10742,4.0,2.0,Suzuki,2004,Regular
10745,4.0,1.6,Suzuki,2004,Regular
10747,4.0,2.4,Toyota,2004,Regular
10752,4.0,1.5,Toyota,2004,Regular
10761,6.0,2.8,Volkswagen,2004,Premium
10774,8.0,4.0,Volkswagen,2004,Premium
10776,4.0,1.9,Volvo,2004,Premium
10780,5.0,2.5,Volvo,2004,Premium
10790,6.0,3.5,Acura,2004,Premium
10794,6.0,2.7,Audi,2004,Premium
10798,8.0,6.8,Bentley,2004,Premium
10808,6.0,3.1,Buick,2004,Regular
10809,6.0,3.8,Buick,2004,Regular
10810,6.0,3.8,Buick,2004,Premium
10812,6.0,3.2,Cadillac,2004,Premium
10814,6.0,3.6,Cadillac,2004,Regular
10815,8.0,5.7,Cadillac,2004,Premium
10816,8.0,4.6,Cadillac,2004,Regular
10818,6.0,2.5,Chevrolet,2004,Regular
10821,6.0,3.5,Chevrolet,2004,Regular
10823,6.0,3.4,Chevrolet,2004,Regular
10824,6.0,3.8,Chevrolet,2004,Regular
10825,6.0,3.8,Chevrolet,2004,Premium
10827,6.0,2.5,Daewoo,2004,Regular
10829,6.0,2.7,Dodge,2004,Regular
10830,4.0,2.4,Honda,2004,Regular
10832,6.0,3.0,Honda,2004,Regular
10836,4.0,2.4,Hyundai,2004,Regular
10840,6.0,3.5,Hyundai,2004,Regular
10848,4.0,2.0,Kia,2004,Regular
10850,4.0,2.4,Kia,2004,Regular
10852,6.0,2.7,Kia,2004,Regular
10854,6.0,3.3,Lexus,2004,Regular
