,cylinders,displ,make,year,fuelType
316,8.0,5.8,Ford,1993,Regular
325,4.0,2.3,Ford,1993,Regular
329,6.0,4.0,Ford,1993,Regular
335,4.0,1.5,Dodge,1985,Regular
336,4.0,1.9,Volkswagen,1985,Regular
337,8.0,5.0,GMC,1993,Regular
339,8.0,5.7,GMC,1993,Regular
351,4.0,2.2,Mazda,1993,Regular
355,4.0,2.6,Mazda,1993,Regular
357,4.0,2.4,Toyota,1993,Regular
358,4.0,2.5,AM General,1985,Regular
369,6.0,4.2,AM General,1985,Regular
372,8.0,6.2,Chevrolet,1993,Diesel
380,8.0,5.0,Chevrolet,1985,Regular
391,8.0,5.7,Chevrolet,1985,Regular
402,8.0,6.2,Chevrolet,1985,Diesel
413,4.0,2.5,Chevrolet,1985,Regular
432,8.0,6.2,GMC,1993,Diesel
447,6.0,2.8,Chevrolet,1985,Regular
449,6.0,3.1,Isuzu,1993,Regular
452,6.0,3.0,Mitsubishi,1993,Regular
461,6.0,4.3,Chevrolet,1993,Premium
538,5.0,2.5,Volkswagen,1993,Regular
541,6.0,3.8,Chevrolet,1993,Regular
570,4.0,1.6,Geo,1993,Regular
581,6.0,3.0,Mazda,1993,Regular
587,6.0,3.3,Plymouth,1993,Regular
588,4.0,1.3,Suzuki,1993,Regular
589,4.0,1.6,Suzuki,1993,Regular
591,4.0,2.6,Dodge,1985,Regular
602,8.0,4.1,"E. P. Dutton, Inc.",1985,Regular
617,8.0,5.2,Jeep,1993,Regular
638,6.0,3.2,Isuzu,1993,Regular
642,8.0,3.9,Land Rover,1993,Premium
644,8.0,4.3,Land Rover,1993,Premium
649,6.0,4.0,Mazda,1993,Regular
653,6.0,4.3,"PAS, Inc",1993,Premium
668,4.0,1.6,Dodge,1985,Premium
671,6.0,4.3,Oldsmobile,1993,Premium
672,6.0,4.5,Toyota,1993,Regular
680,6.0,2.8,GMC,1985,Regular
688,6.0,3.0,Acura,1994,Premium
690,4.0,2.0,Alfa Romeo,1994,Premium
692,8.0,5.7,Chevrolet,1994,Premium
695,6.0,3.0,Nissan,1994,Premium
699,10.0,8.0,Dodge,1994,Premium
700,8.0,3.4,Ferrari,1994,Premium
703,12.0,4.9,Ferrari,1994,Premium
704,4.0,1.5,Honda,1994,Regular
706,4.0,1.6,Honda,1994,Regular
708,4.0,1.6,Honda,1994,Premium
709,6.0,4.0,Jaguar,1994,Premium
710,4.0,2.2,Lotus,1994,Premium
711,4.0,1.8,Mazda,1994,Regular
713,4.0,1.6,Grumman Olson,1985,Diesel
714,2.0,1.3,Mazda,1994,Premium
716,6.0,3.2,Mercedes-Benz,1994,Premium
717,8.0,5.0,Mercedes-Benz,1994,Premium
718,12.0,6.0,Mercedes-Benz,1994,Premium
719,6.0,3.6,Porsche,1994,Regular
722,4.0,3.0,Porsche,1994,Regular
725,4.0,2.0,Toyota,1994,Premium
726,4.0,2.2,Toyota,1994,Regular
728,6.0,2.8,Audi,1994,Premium
729,4.0,1.8,BMW,1994,Premium
731,6.0,2.5,BMW,1994,Premium
733,4.0,1.6,Mercury,1994,Regular
735,4.0,2.5,Jeep,1985,Regular
741,6.0,3.6,Porsche,1994,Premium
742,8.0,5.4,Porsche,1994,Premium
743,8.0,5.4,Porsche,1994,Regular
747,4.0,1.5,Toyota,1994,Regular
749,6.0,3.0,Toyota,1994,Premium
753,4.0,1.8,Acura,1994,Premium
754,4.0,1.8,Acura,1994,Regular
764,12.0,5.0,BMW,1994,Regular
765,12.0,5.6,BMW,1994,Premium
766,6.0,3.4,Chevrolet,1994,Regular
771,4.0,2.2,Chevrolet,1994,Regular
773,6.0,3.1,Chevrolet,1994,Regular
775,3.0,1.0,Chevrolet,1994,Regular
777,6.0,3.0,Chrysler,1994,Regular
778,4.0,1.6,Nissan,1994,Regular
780,6.0,2.8,Jeep,1985,Regular
782,4.0,2.0,Nissan,1994,Regular
786,4.0,1.5,Dodge,1994,Regular
788,4.0,1.8,Dodge,1994,Regular
790,6.0,3.0,Dodge,1994,Regular
795,6.0,3.0,Dodge,1994,Premium
796,4.0,1.5,Eagle,1994,Regular
798,4.0,1.8,Eagle,1994,Regular
802,4.0,2.2,Plymouth,1985,Regular
803,4.0,2.0,Eagle,1994,Premium
805,4.0,2.0,Eagle,1994,Regular
811,4.0,1.3,Ford,1994,Regular
814,6.0,3.8,Ford,1994,Regular
816,8.0,5.0,Ford,1994,Regular
818,4.0,2.0,Ford,1994,Regular
820,6.0,2.5,Ford,1994,Premium
822,3.0,1.0,Geo,1994,Regular
834,4.0,2.2,Honda,1994,Regular
836,4.0,2.2,Honda,1994,Premium
838,4.0,2.3,Honda,1994,Premium
840,4.0,1.5,Hyundai,1994,Regular
845,6.0,3.0,Infiniti,1994,Premium
846,4.0,2.6,Plymouth,1985,Regular
849,12.0,6.0,Jaguar,1994,Premium
850,6.0,3.0,Lexus,1994,Premium
852,8.0,4.0,Lexus,1994,Premium
853,4.0,1.6,Mazda,1994,Regular
855,6.0,1.9,Mazda,1994,Regular
857,6.0,4.2,American Motors Corporation,1985,Regular
858,4.0,2.0,Mazda,1994,Regular
860,6.0,2.5,Mazda,1994,Premium
863,4.0,1.5,Mitsubishi,1994,Regular
865,4.0,1.8,Mitsubishi,1994,Regular
870,4.0,2.0,Mitsubishi,1994,Premium
872,4.0,2.0,Mitsubishi,1994,Regular
876,6.0,3.0,Mitsubishi,1994,Regular
878,6.0,3.0,Mitsubishi,1994,Premium
880,4.0,1.5,Plymouth,1994,Regular
882,4.0,1.8,Plymouth,1994,Regular
886,4.0,2.0,Plymouth,1994,Premium
888,4.0,2.0,Plymouth,1994,Regular
894,6.0,3.4,Pontiac,1994,Regular
896,8.0,5.7,Pontiac,1994,Premium
898,3.0,1.0,Pontiac,1994,Regular
900,4.0,2.0,Pontiac,1994,Regular
903,6.0,3.1,Pontiac,1994,Regular
905,8.0,6.8,Rolls-Royce,1994,Premium
907,4.0,2.0,Saab,1994,Regular
908,4.0,2.0,Saab,1994,Premium
910,4.0,2.1,Saab,1994,Regular
911,4.0,2.3,Saab,1994,Premium
912,4.0,1.9,Saturn,1994,Regular
917,4.0,1.8,Subaru,1994,Regular
921,3.0,1.2,Subaru,1994,Regular
923,6.0,3.3,Subaru,1994,Premium
926,4.0,1.3,Suzuki,1994,Regular
929,4.0,1.8,Toyota,1994,Regular
937,6.0,2.8,Volkswagen,1994,Regular
939,6.0,3.2,Acura,1994,Premium
943,5.0,2.5,Acura,1994,Premium
945,6.0,3.0,Alfa Romeo,1994,Premium
948,5.0,2.2,Audi,1994,Regular
949,8.0,4.2,Audi,1994,Premium
952,6.0,2.8,Audi,1994,Regular
959,8.0,3.0,BMW,1994,Premium
961,8.0,3.1,BMW,1994,Premium
963,8.0,4.0,BMW,1994,Premium
964,4.0,2.3,Buick,1994,Regular
966,6.0,3.1,Buick,1994,Regular
970,4.0,2.3,Chevrolet,1994,Premium
977,4.0,2.5,Chrysler,1994,Regular
981,4.0,2.4,Nissan,1994,Regular
983,4.0,2.2,Dodge,1994,Regular
985,4.0,2.5,Dodge,1994,Regular
989,4.0,1.8,Ford,1994,Regular
992,4.0,1.9,Ford,1994,Regular
994,4.0,2.3,Ford,1994,Regular
996,6.0,3.0,Ford,1994,Regular
998,4.0,1.6,Geo,1994,Regular
1000,4.0,1.8,Geo,1994,Regular
1004,4.0,1.6,Kia,1994,Regular
1010,4.0,1.6,Hyundai,1994,Regular
1011,4.0,1.8,Hyundai,1994,Regular
1015,4.0,2.0,Infiniti,1994,Regular
1019,6.0,3.0,Lexus,1994,Regular
1020,4.0,2.3,Mercury,1994,Regular
1022,6.0,3.0,Mercury,1994,Regular
1025,4.0,1.8,Mercury,1994,Regular
1027,4.0,1.9,Mercury,1994,Regular
1038,4.0,2.2,Mercedes-Benz,1994,Premium
1039,6.0,2.8,Mercedes-Benz,1994,Premium
1041,8.0,4.2,Mercedes-Benz,1994,Premium
1046,4.0,2.0,Dodge,1985,Regular
1048,4.0,2.4,Mitsubishi,1994,Premium
1049,4.0,2.4,Mitsubishi,1994,Regular
1052,4.0,2.3,Oldsmobile,1994,Regular
1056,4.0,2.3,Oldsmobile,1994,Premium
1058,6.0,3.1,Oldsmobile,1994,Regular
1059,4.0,2.2,Plymouth,1994,Regular
1061,4.0,2.5,Plymouth,1994,Regular
1063,6.0,3.0,Plymouth,1994,Regular
1065,4.0,2.3,Pontiac,1994,Regular
1068,4.0,2.3,Ford,1985,Diesel
1069,4.0,2.3,Pontiac,1994,Premium
1072,8.0,6.5,Rolls-Royce,1994,Premium
1077,4.0,2.2,Subaru,1994,Regular
1079,6.0,2.8,Ford,1985,Regular
1082,4.0,2.2,Subaru,1994,Premium
1084,4.0,1.6,Toyota,1994,Regular
1088,4.0,2.0,Volkswagen,1994,Regular
1099,4.0,2.2,Buick,1994,Regular
1103,6.0,3.8,Buick,1994,Regular
1104,8.0,4.6,Cadillac,1994,Premium
1112,8.0,2.9,Ferrari,1985,Regular
1113,4.0,2.6,Dodge,1985,Premium
1121,6.0,3.0,Ford,1994,Premium
1122,6.0,3.2,Ford,1994,Premium
1124,6.0,3.8,Ford,1994,Premium
1128,8.0,4.6,Ford,1994,Regular
1129,4.0,2.0,Hyundai,1994,Regular
1131,6.0,3.0,Hyundai,1994,Regular
1135,8.0,4.5,Infiniti,1994,Premium
1140,6.0,3.8,Mercury,1994,Regular
1141,8.0,4.6,Mercury,1994,Regular
1142,8.0,4.6,Lincoln,1994,Premium
1150,6.0,3.0,Mazda,1994,Premium
1151,4.0,2.2,Oldsmobile,1994,Regular
1154,6.0,3.4,Oldsmobile,1994,Regular
1166,4.0,2.3,Saab,1994,Regular
1168,6.0,2.5,Saab,1994,Regular
1173,6.0,3.0,Toyota,1994,Regular
1174,5.0,2.3,Volvo,1994,Regular
1175,5.0,2.4,Volvo,1994,Regular
1177,4.0,2.3,Volvo,1994,Regular
1179,6.0,2.9,Volvo,1994,Regular
1184,8.0,5.7,Buick,1994,Premium
1186,8.0,4.9,Cadillac,1994,Premium
1187,8.0,5.7,Cadillac,1994,Premium
1188,8.0,4.3,Chevrolet,1994,Regular
1190,6.0,3.3,Chrysler,1994,Regular
1192,6.0,3.5,Chrysler,1994,Regular
1194,6.0,3.3,Dodge,1994,Regular
1195,6.0,3.5,Dodge,1994,Regular
1196,6.0,3.3,Eagle,1994,Regular
